Codigo,Producto,Precio Costo,Precio,Precio Mayoreo,Inventario,Inv. Minimo,Departamento
 VASO SUELTO,,$0.00,$1.00,$0.00,0,0,- Sin Departamento -
 RULECITOS DE CANELA,,$0.00,$7.00,$0.00,0,0,- Sin Departamento -
 LECHGA,,$0.00,$12.00,$0.00,0,0,- Sin Departamento -
 LECHUGA,,$10.00,$12.00,$0.00,0,0,- Sin Departamento -
75051365,,$0.00,$1.50,$0.00,0,0,Dulces
 CUBRBOCAS,,$0.00,$1.50,$0.00,0,0,Farmacia
 CUBREBOCAS,,$0.00,$1.50,$0.00,0,0,Farmacia
 JAMON DE PAVO ,,$0.00,$100.00,$0.00,0,0,lacteos y embutidos
7501060000000, Alpura Frutos Rojos 150g,$3.50,$5.00,$0.00,0,0,Alpura
2201302, Orbit Fresa,$0.00,$2.00,$0.00,0,0,Dulces
2261003, Orbit Hierbabuena,$0.00,$2.00,$0.00,27,0,Dulces
75041748, Orbit Menta,$0.00,$2.00,$0.00,2,0,Dulces
7501030000000,0ikos Fresa,$7.00,$9.00,$0.00,1,0,Danone
1021,1 Kg Calabaza,$5.00,$6.50,$0.00,0,0,Verdura
1120,1 Kg Guayaba,$15.00,$19.50,$0.00,0,0,Verdura
1489,1 Kg Zanahoria,$5.00,$6.50,$0.00,0,0,Verdura
1519,1 Peso,$0.00,$1.00,$0.00,0,0,Tienda
7501200000000,1.2.3,$18.00,$23.00,$23.00,7,0,Detergentes
1601,10 Pesos,$0.00,$10.00,$0.00,0,0,Tienda
1618,11 Pesos,$0.00,$11.00,$0.00,0,0,Tienda
1625,12 Pesos,$0.00,$12.00,$0.00,0,0,Tienda
1632,13 Pesos,$0.00,$13.00,$0.00,0,0,Tienda
1649,14 Pesos,$0.00,$14.00,$0.00,0,0,Tienda
1526,2 Pesos,$0.00,$2.00,$0.00,0,0,Tienda
1045,250g Calabaza,$1.50,$2.00,$0.00,0,0,Verdura
1144,250g Guayaba,$4.00,$5.00,$0.00,0,0,Verdura
1502,250g Zanahoria,$1.50,$2.00,$0.00,0,0,Verdura
 PROMO 1,3 Blanca Nieves 250g + 1 Jabon Tocador,$0.00,$25.00,$0.00,11,0,Promociones
7501060000000,3 En 1,$0.00,$45.00,$0.00,1,0,Tienda
1533,3 Pesos,$0.00,$3.00,$0.00,0,0,Tienda
1540,4 Pesos,$0.00,$4.00,$0.00,0,0,Tienda
1557,5 Pesos,$0.00,$5.00,$0.00,0,0,Tienda
1656,50 Centavos,$0.00,$0.50,$0.00,0,0,Tienda
1038,500g Calabaza,$2.50,$3.00,$0.00,0,0,Verdura
1137,500g Guayaba,$7.50,$10.00,$0.00,0,0,Verdura
1496,500g Zanahoria,$2.50,$3.00,$0.00,0,0,Verdura
1564,6 Pesos,$0.00,$6.00,$0.00,0,0,Tienda
1571,7 Pesos,$0.00,$7.00,$0.00,0,0,Tienda
