Codigo,Descripcion,Precio Costo,Precio Venta,Precio Mayoreo,Inventario,Inv. Minimo,Departamento,keyword
VASO SUELTO,,$0.00,$1.00,$0.00,0,0,- Sin Departamento -,
RULECITOS DE CANELA,,$0.00,$7.00,$0.00,0,0,- Sin Departamento -,
LECHGA,,$0.00,$12.00,$0.00,0,0,- Sin Departamento -,
LECHUGA,,$10.00,$12.00,$0.00,N/A,0,- Sin Departamento -,
75051365,,$0.00,$1.50,$0.00,0,0,Dulces,
CUBRBOCAS,,$0.00,$1.50,$0.00,0,0,Farmacia,
CUBREBOCAS,,$0.00,$1.50,$0.00,0,0,Farmacia,
JAMON DE PAVO,,$0.00,$100.00,$0.00,0,0,lacteos y embutidos,
7501055901173,Alpura Frutos Rojos 150g,$3.50,$5.00,$0.00,0,0,Alpura,Alpura Frutos Rojos 150g
2201302,Orbit Fresa,$0.00,$2.00,$0.00,N/A,0,Dulces,Orbit Fresa
2261003,Orbit Hierbabuena,$0.00,$2.00,$0.00,27,0,Dulces,Orbit Hierbabuena
75041748,Orbit Menta,$0.00,$2.00,$0.00,2,0,Dulces,Orbit Menta
7501032395599,0ikos Fresa,$7.00,$9.00,$0.00,1,0,Danone,0ikos Fresa
1021,1 Kg Calabaza,$5.00,$6.50,$0.00,0,0,Verdura,1 Kg Calabaza
1120,1 Kg Guayaba,$15.00,$19.50,$0.00,0,0,Verdura,1 Kg Guayaba
1489,1 Kg Zanahoria,$5.00,$6.50,$0.00,0,0,Verdura,1 Kg Zanahoria
1519,1 Peso,$0.00,$1.00,$0.00,N/A,0,Tienda,1 Peso
7501199410913,1.2.2003,$18.00,$23.00,$23.00,7,0,Detergentes,1.2.2003
1601,10 Pesos,$0.00,$10.00,$0.00,N/A,0,Tienda,10 Pesos
1618,11 Pesos,$0.00,$11.00,$0.00,N/A,0,Tienda,11 Pesos
1625,12 Pesos,$0.00,$12.00,$0.00,N/A,0,Tienda,12 Pesos
1632,13 Pesos,$0.00,$13.00,$0.00,N/A,0,Tienda,13 Pesos
1649,14 Pesos,$0.00,$14.00,$0.00,N/A,0,Tienda,14 Pesos
1526,2 Pesos,$0.00,$2.00,$0.00,N/A,0,Tienda,2 Pesos
1045,250g Calabaza,$1.50,$2.00,$0.00,0,0,Verdura,250g Calabaza
1144,250g Guayaba,$4.00,$5.00,$0.00,0,0,Verdura,250g Guayaba
1502,250g Zanahoria,$1.50,$2.00,$0.00,0,0,Verdura,250g Zanahoria
PROMO 1,3 Blanca Nieves 250g + 1 Jabon Tocador,$0.00,$25.00,$0.00,11,0,Promociones,3 Blanca Nieves 250g + 1 Jabon Tocador
7501058753137,3 En 1,$0.00,$45.00,$0.00,1,0,Tienda,3 En 1
1533,3 Pesos,$0.00,$3.00,$0.00,N/A,0,Tienda,3 Pesos
1540,4 Pesos,$0.00,$4.00,$0.00,N/A,0,Tienda,4 Pesos
