Codigo,Descripcion,Precio Costo,Precio Venta,Precio Mayoreo,Inventario,Inv. Minimo,Departamento,keyword
7501055903931,Crema Alpura,$0.00,$21.00,$0.00,0,0,lacteos y embutidos,Crema Alpura
7501055909520,Crema Alpura 200ml,$9.00,$11.50,$11.00,14,0,Alpura,Crema Alpura 200ml
7501055909421,Crema Alpura 450g,$0.00,$25.50,$0.00,8,0,- Sin Departamento -,Crema Alpura 450g
7501055900336,Crema Alpura 450ml,$0.00,$25.50,$0.00,7,0,Alpura,Crema Alpura 450ml
7501055905676,Crema Alpura Deslactosada,$0.00,$20.00,$0.00,1,0,Tienda,Crema Alpura Deslactosada
7501022104217,Crema Conchs Nacar,$30.00,$39.00,$0.00,1,0,Tienda,Crema Conchs Nacar
7509546009179,Crema Dental 75mlColgate,$16.00,$20.00,$0.00,8,0,Tienda,Crema Dental 75mlColgate
7509546000985,Crema Dental Triple A75m,$10.00,$15.00,$0.00,7,0,Tienda,Crema Dental Triple A75m
75010690,Crema Hinds,$8.50,$11.00,$0.00,2,0,Farmacia,Crema Hinds
75018795,Crema Hinds,$8.50,$11.00,$0.00,7,0,Farmacia,Crema Hinds
75010416,Crema Hinds Inspiracion,$8.50,$11.00,$0.00,0,0,Farmacia,Crema Hinds Inspiracion
7501056325442,Crema Ponds S 50g,$0.00,$26.00,$0.00,1,0,Tienda,Crema Ponds S 50g
7501000612161,Cremas De Nieve 185g,$0.00,$18.00,$0.00,2,0,Tienda,Cremas De Nieve 185g
7501000612130,Cremas de Nieve 185g,$0.00,$17.00,$0.00,1,0,Tienda,Cremas de Nieve 185g
7501000612147,Cremas de Nieve 185g,$0.00,$18.00,$0.00,1,0,Tienda,Cremas de Nieve 185g
7501000606566,Cremax De Nieve Chocolate,$0.00,$10.00,$0.00,1,0,Gamesa,Cremax De Nieve Chocolate
7501000606580,Cremax De Nieve Fresa,$0.00,$10.00,$0.00,4,0,Gamesa,Cremax De Nieve Fresa
7501000606573,Cremax De Nieve Vainilla,$0.00,$10.00,$0.00,0,0,Tienda,Cremax De Nieve Vainilla
75024635,Cremino,$0.00,$2.00,$0.00,24,0,Tienda,Cremino
