Codigo,Descripcion,Precio Costo,Precio Venta,Precio Mayoreo,Inventario,Inv. Minimo,Departamento,keyword
7501013122190,Jumex 1l Tetra Manza,$0.00,$21.00,$0.00,2,0,Tienda,Jumex 1l Tetra Manza
7501013122145,Jumex 1l Tetra Uva,$16.50,$19.00,$0.00,0,0,Tienda,Jumex 1l Tetra Uva
7501013109559,Jumex Sport 600ml,$0.00,$14.00,$0.00,0,0,Tienda,Jumex Sport 600ml
7501013109641,Jumex Sport 600ml,$0.00,$14.00,$0.00,1,0,- Sin Departamento -,Jumex Sport 600ml
7501013109542,Jumex Sport 600ml,$0.00,$14.00,$0.00,1,0,Tienda,Jumex Sport 600ml
7501013109528,Jumex Sport 600ml,$0.00,$14.00,$0.00,1,0,Tienda,Jumex Sport 600ml
7501013109979,Jumex Sport 600ml,$0.00,$14.00,$0.00,1,0,Tienda,Jumex Sport 600ml
7501013109535,Jumex Sport 600ml,$0.00,$14.00,$0.00,2,0,Tienda,Jumex Sport 600ml
7501013174052,Jumex Vidrio Durazno,$0.00,$11.00,$0.00,4,0,Tienda,Jumex Vidrio Durazno
7501013174038,Jumex Vidrio Mango,$0.00,$11.00,$0.00,12,0,Tienda,Jumex Vidrio Mango
7501013174199,Jumex Vidrio Manzana,$9.00,$11.00,$0.00,12,0,Tienda,Jumex Vidrio Manzana
756774061647,Kahlua,$0.00,$55.00,$0.00,0,0,Tienda,Kahlua
756774022877,Kahlua,$0.00,$70.00,$0.00,0,0,Tienda,Kahlua
7501000140473,Karameladas Pop 50gms,$4.00,$5.00,$0.00,6,0,Barcel,Karameladas Pop 50gms
7501011177284,Karate,$0.00,$13.00,$0.00,0,0,Sabritas,Karate
7501011141605,Karate Japones 135g,$9.00,$11.00,$0.00,9,0,Sabritas,Karate Japones 135g
7502246442000,Karla,$0.00,$7.00,$0.00,0,0,Dulces,Karla
7502246442383,Karla,$0.00,$7.00,$0.00,0,0,Dulces,Karla
80051831,Kinder,$0.00,$16.00,$0.00,0,0,Tienda,Kinder
80741251,Kinder,$14.00,$16.00,$0.00,0,0,Tienda,Kinder
80050315,Kinder 12.5g,$0.00,$3.00,$0.00,0,0,Dulces,Kinder 12.5g
80052760,Kinder Bueno 43g,$13.00,$17.00,$0.00,0,0,Dulces,Kinder Bueno 43g
80052463,Kinder Delice 42g,$7.00,$8.50,$0.00,0,0,Dulces,Kinder Delice 42g
75020149,Kiss,$15.00,$19.50,$0.00,0,0,- Sin Departamento -,Kiss
7501024527816,Kiss,$56.00,$73.00,$0.00,0,0,Tienda,Kiss
7501024522927,Kisses,$62.50,$95.00,$0.00,1,0,Tienda,Kisses
7501024527823,Kisses,$0.00,$75.00,$0.00,0,0,Danone,Kisses
7501024527731,Kisses,$0.00,$45.00,$0.00,0,0,Tienda,Kisses
75012076,Kisses Almendras,$69.00,$100.00,$0.00,1,0,Tienda,Kisses Almendras
7501024546213,Kisses Cafe Moka,$44.50,$58.00,$0.00,1,0,- Sin Departamento -,Kisses Cafe Moka
7501024546138,Kisses Cereza,$0.00,$55.00,$0.00,0,0,Dulces,Kisses Cereza
75012045,Kisses Fco,$78.50,$102.00,$0.00,1,0,- Sin Departamento -,Kisses Fco
7501024583003,Kisses Holandes,$44.50,$58.00,$0.00,1,0,- Sin Departamento -,Kisses Holandes
750107,Kiyakis,$4.00,$5.00,$0.00,10,0,Barcel,Kiyakis
7501000207305,Kiyakis Barcel 50gms,$4.00,$6.00,$0.00,8,0,Barcel,Kiyakis Barcel 50gms
757528017262,Kiyakis Grande,$0.00,$10.00,$0.00,1,0,Barcel,Kiyakis Grande
757528022242,Kiyakis Limon,$0.00,$5.00,$0.00,0,0,Barcel,Kiyakis Limon
7501017362950,Kleenex Pauelos,$0.00,$5.00,$0.00,N/A,0,Tienda,Kleenex Pauelos
7501943476431,Klenex,$0.00,$7.00,$7.00,0,0,Tienda,Klenex
7506306306141,Knor En Polvo,$0.00,$3.00,$0.00,0,0,Tienda,Knor En Polvo
7501005117715,Knorr Sopa De Fideo Camaron Con Chile 95g,$8.50,$11.00,$0.00,0,0,- Sin Departamento -,Knorr Sopa De Fideo Camaron Con Chile 95g
7501005116985,Knorr Sopa De Fideos 115g,$8.50,$11.00,$0.00,1,0,- Sin Departamento -,Knorr Sopa De Fideos 115g
7501005180306,Knorr Suiza Caja,$0.00,$3.00,$0.00,458,0,Tienda,Knorr Suiza Caja
7501130934058,Kolorix Paleta,$0.00,$4.00,$0.00,0,0,Tienda,Kolorix Paleta
7501008101049,Korn Flakes 150g,$11.00,$14.50,$14.50,0,0,Tienda,Korn Flakes 150g
7501943421141,Kotex Control Noctur,$15.00,$19.50,$0.00,4,0,Tienda,Kotex Control Noctur
7501943424586,Kotex Noct Con Alas,$0.00,$17.00,$0.00,0,0,Tienda,Kotex Noct Con Alas
7501943424623,Kotex Normal,$11.50,$15.00,$0.00,0,0,Tienda,Kotex Normal
7501943424562,Kotex Normal,$11.00,$14.00,$0.00,20,0,Tienda,Kotex Normal
7501020548198,LALA SEMILLAS,$0.00,$10.00,$0.00,0,0,- Sin Departamento -,LALA SEMILLAS
7501055351213,LIMONADA,$0.00,$9.00,$0.00,0,0,Refresco,LIMONADA
7501088371400,La Corona,$19.00,$25.00,$0.00,0,0,- Sin Departamento -,La Corona
745404115836,La Corona Chocolates,$54.00,$70.00,$0.00,1,0,- Sin Departamento -,La Corona Chocolates
7501058617873,La Lechera 387,$14.00,$18.00,$0.00,55,0,Nestle,La Lechera 387
7501020512823,Lala Bio4 Clactoba,$3.50,$5.50,$0.00,3,0,lacteos y embutidos,Lala Bio4 Clactoba
7501020538304,Lala Cereal,$0.00,$5.00,$0.00,0,0,lacteos y embutidos,Lala Cereal
7501026902383,Lamp Neolux 13w,$26.00,$34.00,$34.00,6,0,Tienda,Lamp Neolux 13w
7501026902123,Lampara Dulux 30w,$50.00,$65.00,$0.00,3,0,Tienda,Lampara Dulux 30w
7501026902055,Lampara Dulux De 20w,$33.00,$40.00,$0.00,7,0,Tienda,Lampara Dulux De 20w
7501059299436,Larin Almendra,$6.00,$7.00,$7.00,0,0,Dulces,Larin Almendra
7501059299429,Larin Avellana,$6.00,$7.00,$0.00,0,0,Dulces,Larin Avellana
7501059209374,Larin Avellanas 26g,$6.00,$7.50,$7.50,0,0,Dulces,Larin Avellanas 26g
7501059209381,Larin De Almendras,$6.00,$7.00,$7.00,8,0,Dulces,Larin De Almendras
7501059299443,Larin Nuez,$6.00,$7.00,$0.00,0,0,Dulces,Larin Nuez
7501030461340,Latte Creme 40g,$0.00,$9.00,$0.00,0,0,Marinela,Latte Creme 40g
7501055900060,Leche Alpura  Choco 1L,$18.00,$22.00,$21.00,1,0,Alpura,Leche Alpura  Choco 1L
7501055900077,Leche Alpura Fresa 1L,$18.00,$22.00,$21.00,2,0,Alpura,Leche Alpura Fresa 1L
7501055900084,Leche Alpura Vainilla !L,$18.00,$22.00,$21.00,1,0,Alpura,Leche Alpura Vainilla !L
7501059284555,Leche Clavel 340ml,$10.00,$14.00,$13.00,43,0,Nestle,Leche Clavel 340ml
758104004874,Leche Danone,$0.00,$15.00,$0.00,4,0,Tienda,Leche Danone
7501055909582,Leche Fresa,$0.00,$8.00,$0.00,0,0,Alpura,Leche Fresa
7501030475132,Leche Gansito,$0.00,$9.00,$0.00,0,0,Tienda,Leche Gansito
7501020515343,Leche Lala Premium 1 Lt,$14.00,$15.50,$0.00,7,0,Leche,Leche Lala Premium 1 Lt
7501295600126,Leche Santa Clara,$0.00,$19.00,$0.00,0,0,- Sin Departamento -,Leche Santa Clara
7501055909599,Leche Vainilla,$0.00,$8.00,$0.00,0,0,Alpura,Leche Vainilla
7501001600105,Lechera Nestle 397g,$14.50,$17.00,$17.00,14,0,Nestle,Lechera Nestle 397g
7501059278868,Lechera Sirve Facil,$0.00,$29.00,$0.00,5,0,- Sin Departamento -,Lechera Sirve Facil
7501059211209,Lecherita Nestle 100g,$6.00,$7.00,$7.00,41,0,Tienda,Lecherita Nestle 100g
75002084,Lechita Alpura  Fresa 250ml,$6.00,$8.50,$8.50,4,0,Alpura,Lechita Alpura  Fresa 250ml
7501295600638,Lechita Capuccino,$0.00,$7.50,$0.00,0,0,- Sin Departamento -,Lechita Capuccino
7501295600614,Lechita Chocolate,$0.00,$7.50,$0.00,0,0,- Sin Departamento -,Lechita Chocolate
LENTEJA,Lenteja,$16.00,$20.50,$0.00,N/A,0,Tienda,Lenteja
543,Lenteja 1k,$0.00,$20.00,$0.00,N/A,0,Tienda,Lenteja 1k
567,Lenteja 250g,$0.00,$5.00,$0.00,N/A,0,Tienda,Lenteja 250g
550,Lenteja 500g,$0.00,$10.00,$0.00,N/A,0,Tienda,Lenteja 500g
7501064173202,Leon Cerveza,$0.00,$33.00,$0.00,3,0,Corona,Leon Cerveza
758104001354,Levite Bonafont Limon 500ml,$5.50,$7.00,$0.00,4,0,Agua,Levite Bonafont Limon 500ml
758104003907,Levite Fresa,$0.00,$10.00,$0.00,0,0,Tienda,Levite Fresa
758104002245,Levite Fresa 1.5 L,$12.50,$15.00,$0.00,3,0,Agua,Levite Fresa 1.5 L
758104002238,Levite Fresa 500ml,$6.00,$7.50,$0.00,7,0,Agua,Levite Fresa 500ml
758104001477,Levite Jamaica 1.5 L,$12.50,$15.00,$0.00,7,0,Tienda,Levite Jamaica 1.5 L
758104003914,Levite Limon,$0.00,$10.00,$0.00,0,0,Tienda,Levite Limon
758104001460,Levite Limon 1.5l,$12.50,$15.00,$0.00,1,0,Agua,Levite Limon 1.5l
758104005642,Levite Limon/Menta 1.5l,$0.00,$15.00,$0.00,1,0,Agua,Levite Limon/Menta 1.5l
758104005154,Levite Mandarina,$0.00,$10.00,$0.00,0,0,Tienda,Levite Mandarina
758104005260,Levite Mango,$0.00,$10.00,$0.00,0,0,Tienda,Levite Mango
758104003556,Levite Piña/Coco 1.5L,$0.00,$15.00,$0.00,3,0,Refresco,Levite Piña/Coco 1.5L
7501032396466,Licuado,$0.00,$7.50,$0.00,2,0,Danone,Licuado
7501032396473,Licuado Fresa-Platano,$0.00,$7.50,$0.00,1,0,Danone,Licuado Fresa-Platano
735257001509,Lima,$0.00,$9.50,$0.00,0,0,Tienda,Lima
7501064194344,Lime A Rita,$0.00,$12.00,$0.00,0,0,vino,Lime A Rita
LIMON,Limon,$32.00,$35.00,$0.00,N/A,0,Tienda,Limon
574,Limon 1k,$8.00,$10.50,$0.00,N/A,0,Verdura,Limon 1k
598,Limon 250g,$2.00,$3.00,$0.00,N/A,0,Verdura,Limon 250g
581,Limon 500g,$4.00,$5.00,$0.00,N/A,0,Verdura,Limon 500g
7501102280985,Limonero,$13.00,$16.00,$0.00,0,0,Tienda,Limonero
7501841000455,Limpiahornos Mony 470g,$0.00,$8.00,$0.00,28,0,Tienda,Limpiahornos Mony 470g
7501030465874,Little Bite,$0.00,$10.00,$0.00,2,0,Bimbo,Little Bite
7501030469827,Little Bites 69g,$0.00,$10.00,$0.00,0,0,Bimbo,Little Bites 69g
7501030496335,Lonchibon  Cuerno,$0.00,$12.00,$0.00,0,0,Bimbo,Lonchibon  Cuerno
7501000127344,Lords C/8,$8.50,$10.00,$0.00,0,0,Marinela,Lords C/8
