Codigo,Descripcion,Precio Costo,Precio Venta,Precio Mayoreo,Inventario,Inv. Minimo,Departamento,keyword
PLATANO,Platano,$0.00,$14.00,$0.00,N/A,0,Verdura,Platano
1458,Platano 1k,$8.00,$10.50,$0.00,N/A,0,Verdura,Platano 1k
1472,Platano 250g,$2.00,$3.00,$0.00,N/A,0,Verdura,Platano 250g
1465,Platano 500g,$4.00,$5.00,$0.00,N/A,0,Verdura,Platano 500g
7501000128174,Plativolos 74gms,$8.50,$10.00,$0.00,0,0,Marinela,Plativolos 74gms
7501030474999,Plativolos Tubo,$0.00,$15.00,$0.00,0,0,- Sin Departamento -,Plativolos Tubo
752216092163,Plato Div.,$7.00,$10.00,$0.00,0,0,Tienda,Plato Div.
752216051061,Plato Hondo Jaguar C25,$0.00,$10.00,$0.00,22,0,Tienda,Plato Hondo Jaguar C25
752216051030,Plato Jaguar 25pzas,$0.00,$10.00,$0.00,13,0,Tienda,Plato Jaguar 25pzas
752216081044,Plato No66  PaqC50,$10.00,$12.50,$12.50,1,0,- Sin Departamento -,Plato No66  PaqC50
752216081051,Plato Paquete C50 No855,$13.00,$16.00,$16.00,2,0,Tienda,Plato Paquete C50 No855
752216051047,Plato Pastelero,$6.00,$8.00,$8.00,1,0,Tienda,Plato Pastelero
3614220013701,Play Boy  Genaration,$38.00,$48.00,$0.00,0,0,Farmacia,Play Boy  Genaration
3614221201510,Play Boy Malibu,$38.00,$48.00,$0.00,0,0,Farmacia,Play Boy Malibu
7501737409850,Play Boy New York,$38.00,$48.00,$0.00,0,0,Farmacia,Play Boy New York
7501032909376,Pledge,$0.00,$50.00,$0.00,1,0,Tienda,Pledge
7501032905866,Pledge 260ml,$25.50,$35.00,$35.00,0,0,Tienda,Pledge 260ml
7501032915193,Pledge 378ml,$51.00,$66.50,$66.50,0,0,Tienda,Pledge 378ml
7501032915261,Pledge Brillo Y Proteccion,$0.00,$45.00,$0.00,1,0,Tienda,Pledge Brillo Y Proteccion
719886400094,Plonetes,$0.00,$3.00,$3.00,0,0,Dulces,Plonetes
POBLANO,Poblano,$0.00,$13.00,$0.00,N/A,0,Verdura,Poblano
7501011155343,Poffets Queso Chicas,$5.00,$7.00,$0.00,10,0,Sabritas,Poffets Queso Chicas
7501030475002,Polvoron Tubo 287g,$14.00,$20.00,$0.00,2,0,Tienda,Polvoron Tubo 287g
7501030490951,Polvorones 113g,$8.50,$10.00,$0.00,3,0,Marinela,Polvorones 113g
7501055349715,Power Ade 600ml,$0.00,$15.00,$0.00,0,0,Refresco,Power Ade 600ml
7501055329267,Powerade,$0.00,$15.00,$0.00,0,0,Refresco,Powerade
7501055329380,Powerade,$0.00,$16.00,$0.00,0,0,Refresco,Powerade
7501055317684,Powerade Lima 1l,$0.00,$22.00,$0.00,0,0,Refresco,Powerade Lima 1l
7501055329328,Powerade Limalimon,$0.00,$16.00,$0.00,0,0,Refresco,Powerade Limalimon
7501393200051,Pozoloe Cariocas,$16.00,$19.00,$0.00,0,0,Cariocas,Pozoloe Cariocas
7501000132300,Principe Blanco,$0.00,$12.00,$0.00,2,0,Marinela,Principe Blanco
7501000128167,Principe C8 Mar,$8.00,$12.00,$0.00,3,0,Marinela,Principe C8 Mar
7501030475026,Principe De Tubo,$14.00,$14.00,$0.00,1,0,Marinela,Principe De Tubo
7501030473824,Principe Limon 106g,$8.00,$12.00,$0.00,2,0,Marinela,Principe Limon 106g
7501030462859,Principe Tencion Avellanas 105g,$0.00,$12.00,$0.00,0,0,Marinela,Principe Tencion Avellanas 105g
7622210412904,Promocion Tang,$0.00,$40.00,$0.00,0,0,Tienda,Promocion Tang
7501019068515,Protectores Saba C28 Pza,$14.50,$19.00,$18.00,0,0,Tienda,Protectores Saba C28 Pza
725226066622,Pulparindo Mini Sal,$1.00,$1.00,$0.00,21,0,Dulces,Pulparindo Mini Sal
